mm,nits
11.7617,1.839957
11.77751,1.923786
11.79332,1.77459
11.80913,1.958241
11.82494,1.960509
11.84075,2.077966
11.85655,1.872578
11.87236,1.979735
11.88817,2.126588
11.90398,1.982077
11.91979,2.030087
11.9356,2.020606
11.95141,2.027648
11.96722,1.960729
11.98303,2.142824
11.99883,2.162775
12.01464,2.212975
12.03045,2.263622
12.04626,2.160337
12.06207,2.248207
12.07788,2.211121
12.09369,2.095143
12.1095,2.233456
12.1253,2.262557
12.14111,2.217588
12.15692,2.237867
12.17273,2.269124
12.18854,2.223752
12.20435,2.378529
12.22016,2.33444
12.23596,2.367576
12.25177,2.299472
12.26758,2.231664
12.28339,2.280668
12.2992,2.41971
12.31501,2.322866
12.33082,2.308645
12.34663,2.322534
12.36244,2.403983
12.37824,2.441241
12.39405,2.364271
12.40986,2.462512
12.42567,2.460433
12.44148,2.439385
12.45729,2.448525
12.4731,2.517725
12.4889,2.505805
12.50471,2.501271
12.52052,2.530806
12.53633,2.532043
12.55214,2.574657
12.56795,2.607727
12.58376,2.573579
12.59957,2.617872
12.61537,2.699231
12.63118,2.556355
12.64699,2.677718
12.6628,2.69691
12.67861,2.773605
12.69442,2.74647
12.71023,2.789963
12.72604,2.814194
12.74185,2.748182
12.75765,2.757301
12.77346,2.847919
12.78927,2.86633
12.80508,3.094214
12.82089,2.884625
12.8367,3.082471
12.85251,3.01952
12.86831,3.003447
12.88412,3.077673
12.89993,3.011382
12.91574,3.108217
12.93155,3.033416
12.94736,3.013572
12.96317,3.309338
12.97898,3.152905
12.99478,3.059177
13.01059,3.215594
13.0264,3.160048
13.04221,3.182916
13.05802,3.225806
13.07383,3.187492
13.08964,3.230442
13.10545,3.194162
13.12125,3.180063
13.13706,3.385024
13.15287,3.261333
13.16868,3.383002
13.18449,3.323746
13.2003,3.234703
13.21611,3.313006
13.23192,3.357162
13.24772,3.319492
13.26353,3.463873
13.27934,3.210228
13.29515,3.370722
13.31096,3.359193
13.32677,3.482599
13.34258,3.488037
13.35839,3.688121
13.37419,3.849946
13.39,3.755152
13.40581,3.684167
13.42162,3.570048
13.43743,3.800896
13.45324,3.763437
13.46905,3.57222
13.48486,3.928958
13.50066,3.94208
13.51647,3.849572
13.53228,3.685068
13.54809,3.943386
13.5639,4.088171
13.57971,4.025251
13.59552,3.972437
13.61133,4.003617
13.62713,4.128243
13.64294,4.165537
13.65875,4.041671
13.67456,4.253778
13.69037,4.47626
13.70618,4.242729
13.72199,4.458205
13.7378,4.382452
13.7536,4.346164
13.76941,3.968803
13.78522,4.372765
13.80103,4.372784
13.81684,4.539261
13.83265,4.392986
13.84846,4.395627
13.86427,4.684313
13.88007,4.47057
13.89588,4.536677
13.91169,4.851425
13.9275,4.523477
13.94331,4.680205
13.95912,4.240124
13.97493,4.647621
13.99074,4.338906
14.00654,4.301631
14.02235,4.456013
14.03816,4.547662
14.05397,4.50337
14.06978,4.778214
14.08559,4.71572
14.1014,5.001587
14.11721,5.098461
14.13301,4.632595
14.14882,4.886438
14.16463,5.137954
14.18044,4.9081
14.19625,4.851438
14.21206,5.171112
14.22787,5.021635
14.24368,5.192044
14.25948,5.232466
14.27529,5.237687
14.2911,5.386453
14.30691,5.129329
14.32272,5.505459
14.33853,5.700001
14.35434,5.404899
14.37014,5.481976
14.38595,5.583078
14.40176,5.54967
14.41757,5.475773
14.43338,5.757138
14.44919,5.67044
14.465,6.071689
14.48081,5.791118
14.49662,5.87552
14.51242,6.075774
14.52823,6.094625
14.54404,6.190497
14.55985,6.186354
14.57566,6.349353
14.59147,6.230025
14.60728,6.198156
14.62309,6.208741
14.63889,6.57439
14.6547,6.614928
14.67051,6.537954
14.68632,6.660819
14.70213,6.794602
14.71794,6.497054
14.73375,6.765421
14.74955,6.828893
14.76536,6.873278
14.78117,6.856644
14.79698,6.820183
14.81279,7.027328
14.8286,6.822587
14.84441,6.843041
14.86022,6.944679
14.87602,7.205803
14.89183,7.253931
14.90764,6.87113
14.92345,7.29473
14.93926,7.237071
14.95507,7.286975
14.97088,7.296084
14.98669,7.375739
15.00249,7.378627
15.0183,7.417513
15.03411,7.602975
15.04992,7.442263
15.06573,7.615305
15.08154,7.406282
15.09735,7.526592
15.11316,7.622508
15.12896,7.817014
15.14477,7.500006
15.16058,7.82645
15.17639,8.104937
15.1922,7.840343
15.20801,7.86577
15.22382,8.160538
15.23963,8.362909
15.25543,8.06448
15.27124,8.331161
15.28705,8.555511
15.30286,8.362226
15.31867,8.25526
15.33448,8.452309
15.35029,8.592055
15.3661,8.617178
15.3819,8.595693
15.39771,8.803627
15.41352,8.941181
15.42933,8.782844
15.44514,8.888898
15.46095,9.158101
15.47676,9.342387
15.49257,9.241485
15.50837,9.466421
15.52418,9.418435
15.53999,9.837131
15.5558,9.574761
15.57161,9.904002
15.58742,10.04896
15.60323,10.10988
15.61904,10.07684
15.63484,10.17216
15.65065,10.5288
15.66646,10.51779
15.68227,10.07848
15.69808,10.33641
15.71389,10.40203
15.7297,10.29611
15.74551,10.44952
15.76131,10.64438
15.77712,10.8741
15.79293,10.34375
15.80874,10.6206
15.82455,10.9633
15.84036,11.37153
15.85617,10.89066
15.87197,10.43615
15.88778,11.32782
15.90359,11.00168
15.9194,10.82452
15.93521,11.46687
15.95102,11.70047
15.96683,11.66717
15.98264,11.1671
15.99845,11.86215
16.01425,11.8693
16.03006,11.60965
16.04587,11.30721
16.06168,11.92892
16.07749,12.18767
16.0933,11.74214
16.10911,11.66093
16.12492,12.67648
16.14072,12.23044
16.15653,12.72911
16.17234,12.35218
16.18815,12.86727
16.20396,12.97846
16.21977,12.47252
16.23558,13.21532
16.25138,13.30824
16.26719,13.66395
16.283,13.299
16.29881,13.49285
16.31462,14.07897
16.33043,13.54905
16.34624,13.55262
16.36205,14.20952
16.37786,14.4443
16.39366,14.32161
16.40947,14.23886
16.42528,14.82729
16.44109,14.77926
16.4569,14.75998
16.47271,14.65001
16.48852,15.27689
16.50433,14.86038
16.52013,14.59705
16.53594,15.23947
16.55175,15.45499
16.56756,15.29433
16.58337,15.12167
16.59918,15.61874
16.61499,15.77432
16.63079,15.99774
16.6466,15.53414
16.66241,16.4294
16.67822,16.51345
16.69403,16.24107
16.70984,16.18486
16.72565,16.25851
16.74146,16.62967
16.75727,16.15649
16.77307,16.54162
16.78888,17.18109
16.80469,16.48415
16.8205,16.47615
16.83631,16.76804
16.85212,17.26722
16.86793,17.3635
16.88374,16.85919
16.89954,17.44148
16.91535,17.65707
16.93116,17.30745
16.94697,17.53753
16.96278,18.32302
16.97859,18.31234
16.9944,17.80959
17.0102,17.65292
17.02601,18.37613
17.04182,18.2936
17.05763,17.84706
17.07344,18.47771
17.08925,19.04061
17.10506,18.63553
17.12087,18.63275
17.13667,18.95263
17.15248,19.49302
17.16829,19.20549
17.1841,19.42842
17.19991,20.20617
17.21572,20.21589
17.23153,19.83333
17.24734,20.20793
17.26315,20.92119
17.27895,20.95305
17.29476,20.68322
17.31057,20.95703
17.32638,22.02562
17.34219,21.86077
17.358,21.80832
17.37381,21.91099
17.38961,22.52232
17.40542,22.18325
17.42123,22.68471
17.43704,22.98114
17.45285,23.30749
17.46866,23.02548
17.48447,22.77279
17.50027,24.0836
17.51608,23.88498
17.53189,23.07354
17.5477,23.46793
17.56351,24.54576
17.57932,24.14361
17.59513,23.44287
17.61094,24.29338
17.62675,24.75318
17.64255,24.59976
17.65836,23.62387
17.67417,24.66553
17.68998,25.07411
17.70579,24.60208
17.7216,24.92691
